mbti,mbti_list,username,password,name,email,birth,gender,card_number,card_company,url
istj,ieissstttjjj,ki1m1,1234,김정화,test@gmail.com,1990-01-01,여,1234567891001112,1,http://t1.daumcdn.net/brunch/service/user/Rdr/image/4KLr3IqIbJlrxgio86OtpDhxR-Q.JPG
isfj,iiessnftfjjp,qw1er,1234,박정수,test@gmail.com,1991-04-13,여,1234567891001112,1,
infj,eiinsnftfjjj,as1df,1234,이은영,test@gmail.com,1992-04-13,여,1234567771001112,2,
intj,iiennnttfpjj,po1iu,1234,김하하,test@gmail.com,1989-11-17,여,2234567331001112,1,
istp,iiesnsfttppp,kj1hg,1234,김구,test@gmail.com,1992-05-16,여,3234567891001112,1,
isfp,iiessstffpjp,df1gh,1234,박소영,test@gmail.com,1993-07-14,여,3235567891002212,3,
infp,irinsnftfpjp,zx1cc,1234,이인자,test@gmail.com,2000-08-24,여,1234567813001112,1,
intp,iiisnntftppp,gf1ds,1234,정수수,test@gmail.com,1985-11-21,여,2234567891001112,2,
estp,eeesnsttfjpp,df1sa,1234,윤선영,test@gmail.com,2000-11-05,여,1234567891333112,1,
esfp,eiessnftfpjp,gf1ry,1234,박지혜,test@gmail.com,1994-05-06,여,1234567855501112,1,
enfp,eeennnfftppp,kj1hg,1234,이수영,test@gmail.com,1998-11-27,여,3334567891001112,1,
entp,eeensntftppj,l1kjh,1234,장서은,test@gmail.com,1992-09-13,여,1234560001001112,1,
estj,eeisnstftjpj,p1oyt,1234,정수림,test@gmail.com,1994-12-07,여,1234343891001112,2,
esfj,eeinssfftjjj,d1fgh,1234,박여정,test@gmail.com,1989-01-05,여,1344567891001112,1,
enfj,eeennntffjjp,s1dfg,1234,정여림,test@gmail.com,2000-06-05,여,1234567891002212,3,
entj,eeinnntftjjj,fg1hj,1234,김수현,test@gmail.com,1996-10-17,여,1235567891001112,1,
istj,iiessntftjjj,ki1m11,1234,김정성,test@gmail.com,1997-01-01,남,1234555891001112,1,https://file.mk.co.kr/meet/neds/2021/06/image_readtop_2021_530955_16225970114666915.jpg
isfj,iiesssfffjjp,qw1er1,1234,박영수,test@gmail.com,1997-06-13,남,4434567891001112,1,
infj,iiinsnfffpjj,as1df1,1234,이병영,test@gmail.com,1988-04-13,남,1234566771001112,2,
intj,iiisnnttfjjj,po1iu1,1234,김하성,test@gmail.com,1999-11-17,남,2234567338801112,1,
istp,iiesnstttjpp,kj1hg1,1234,김구영,test@gmail.com,1992-05-16,남,3234567891099112,1,
isfp,iiissntffpjp,df1gh1,1234,박소수,test@gmail.com,1998-08-14,남,3235567891002212,3,
infp,iiennnftfpjp,z1xcc1,1234,이병수,test@gmail.com,2000-08-24,남,1234567813077112,1,
intp,iiinnntttppp,gf1ds1,1234,정영수,test@gmail.com,1996-11-21,남,2234567001001112,3,
estp,eeesnsttfppp,df1sa1,1234,윤영,test@gmail.com,1989-11-05,남,1234567221333112,1,
esfp,eiesssftfpjp,g1fry1,1234,박지성,test@gmail.com,1981-05-06,남,1234577855501112,4,
enfp,eeinsnfffppp,kj1hg1,1234,이정영,test@gmail.com,1989-11-27,남,3334567891441112,4,
entp,ieennntftppj,lkjh1,1234,장은서,test@gmail.com,2000-10-13,남,1234560551001112,1,
estj,eeensstftjjp,poy1t1,1234,정영우,test@gmail.com,1994-12-07,남,1234343891006612,2,
esfj,eiesnsfftjpj,dfgh11,1234,박운정,test@gmail.com,1989-01-05,남,1344567891901112,2,
enfj,eeennstffjjj,sdf1g1,1234,정수은,test@gmail.com,1998-06-05,남,1234567891002288,3,
entj,eeinnntftjpj,fg1hj1,1234,김현우,test@gmail.com,2001-10-17,남,1235567891009912,3,
